Queue,Entity,Transmission #,Instruction  #,Enter Queue,Exit Queue,Queue Time(Min)
Q3_Enter,Instruction,     8,      9,   127.26,   127.26,     0.00, 
mQ1_1,Transmission,    10,      0,   150.46,   150.58,     0.12, 
mQ1_3,Transmission,    11,      0,   153.19,   153.31,     0.12, 
mQ2_8,Instruction,    10,     10,   154.33,   154.42,     0.09, 
Q3_Enter,Instruction,    10,     10,   155.42,   155.42,     0.00, 
mQ2_5,Instruction,    11,     11,   157.06,   157.15,     0.09, 
mQ2_3,Instruction,    10,     12,   157.58,   157.67,     0.09, 
Q3_Enter,Instruction,    11,     11,   158.15,   158.15,     0.00, 
Q3_Enter,Instruction,    10,     12,   158.67,   158.67,     0.00, 
mQ1_2,Transmission,    12,      0,   180.00,   180.12,     0.12, 
mQ2_3,Instruction,    12,     13,   183.87,   183.96,     0.09, 
Q14_Enter,Instruction,    12,     13,   184.96,   185.08,     0.12, 
Q3_Enter,Instruction,    12,     13,   186.08,   186.08,     0.00, 
mQ2_3,Instruction,    12,     14,   187.12,   187.21,     0.09, 
Q3_Enter,Instruction,    12,     14,   188.21,   188.21,     0.00, 
mQ1_3,Transmission,    13,      0,   188.73,   188.85,     0.12, 
mQ2_6,Instruction,    13,     16,   195.35,   195.44,     0.09, 
Q3_Enter,Instruction,    13,     16,   196.44,   196.44,     0.00, 
mQ1_2,Transmission,    14,      0,   208.32,   208.44,     0.12, 
mQ2_8,Instruction,    14,     17,   214.94,   215.03,     0.09, 
Q3_Enter,Instruction,    14,     17,   216.03,   216.03,     0.00, 
Q5_Enter,Instruction,    12,     15,   190.37,   216.12,    25.75, 
Q13_Enter,Instruction,    12,     15,   216.12,   216.18,     0.06, 
Q5_Enter,Instruction,    12,     15,   219.18,   219.18,     0.00, 
mQ2_4,Instruction,    12,     15,   219.18,   219.27,     0.09, 
Q3_Enter,Instruction,    12,     15,   220.27,   220.27,     0.00, 
mQ1_2,Transmission,    15,      0,   240.00,   240.12,     0.12, 
mQ2_2,Instruction,    15,     18,   246.62,   246.71,     0.09, 
Q3_Enter,Instruction,    15,     18,   247.71,   247.71,     0.00, 
mQ2_9,Instruction,    15,     19,   249.62,   249.71,     0.09, 
Q3_Enter,Instruction,    15,     19,   249.71,   249.71,     0.00, 
mQ2_3,Instruction,    15,     20,   252.62,   252.71,     0.09, 
Q3_Enter,Instruction,    15,     20,   253.71,   253.71,     0.00, 
Q7_Enter,Instruction,    15,     20,   253.81,   253.90,     0.09, 
mQ2_6,Instruction,    15,     21,   255.62,   255.71,     0.09, 
Q3_Enter,Instruction,    15,     21,   256.71,   256.71,     0.00, 
mQ1_1,Transmission,    16,      0,   261.10,   261.22,     0.12, 
mQ2_7,Instruction,    16,     22,   264.97,   265.06,     0.09, 
Q3_Enter,Instruction,    16,     22,   266.06,   266.06,     0.00, 
mQ1_4,Transmission,    17,      0,   266.49,   266.61,     0.12, 
mQ2_6,Instruction,    17,     23,   270.36,   270.45,     0.09, 
Q3_Enter,Instruction,    17,     23,   271.45,   271.45,     0.00, 
mQ2_5,Instruction,    17,     24,   273.61,   273.70,     0.09, 
Q6_Enter,Instruction,    17,     24,   274.70,   274.79,     0.09, 
Q3_Enter,Instruction,    17,     24,   275.79,   275.79,     0.00, 
mQ1_4,Transmission,    18,      0,   300.00,   300.12,     0.12, 
mQ2_6,Instruction,    18,     25,   303.87,   303.96,     0.09, 
Q3_Enter,Instruction,    18,     25,   304.96,   304.96,     0.00, 
mQ2_7,Instruction,    18,     26,   307.12,   307.21,     0.09, 
Q14_Enter,Instruction,    18,     26,   308.21,   308.33,     0.12, 
Q3_Enter,Instruction,    18,     26,   309.33,   309.33,     0.00, 
mQ1_4,Transmission,    19,      0,   309.69,   309.81,     0.12, 
mQ2_4,Instruction,    18,     27,   310.37,   310.46,     0.09, 
mQ1_3,Transmission,    20,      0,   310.82,   310.94,     0.12, 
Q3_Enter,Instruction,    18,     27,   311.46,   311.46,     0.00, 
mQ2_3,Instruction,    19,     28,   313.56,   313.65,     0.09, 
Q3_Enter,Instruction,    19,     28,   314.65,   314.65,     0.00, 
mQ2_5,Instruction,    19,     29,   316.81,   316.90,     0.09, 
mQ2_2,Instruction,    20,     30,   317.44,   317.53,     0.09, 
Q3_Enter,Instruction,    19,     29,   317.90,   317.90,     0.00, 
Q14_Enter,Instruction,    20,     30,   318.53,   318.65,     0.12, 
Q3_Enter,Instruction,    20,     30,   319.65,   319.65,     0.00, 
mQ1_2,Transmission,    21,      0,   319.77,   319.89,     0.12, 
mQ2_4,Instruction,    19,     31,   320.06,   320.15,     0.09, 
mQ2_7,Instruction,    20,     32,   320.44,   320.53,     0.09, 
Q3_Enter,Instruction,    19,     31,   321.15,   321.15,     0.00, 
Q3_Enter,Instruction,    20,     32,   321.53,   321.53,     0.00, 
mQ2_2,Instruction,    21,     33,   323.64,   323.73,     0.09, 
Q3_Enter,Instruction,    21,     33,   324.73,   324.73,     0.00, 
mQ1_2,Transmission,    22,      0,   328.72,   328.84,     0.12, 
mQ2_1,Instruction,    22,     34,   335.34,   335.43,     0.09, 
Q3_Enter,Instruction,    22,     34,   336.43,   336.43,     0.00, 
mQ1_2,Transmission,    23,      0,   360.00,   360.12,     0.12, 
mQ1_2,Transmission,    24,      0,   361.37,   361.49,     0.12, 
mQ1_3,Transmission,    25,      0,   363.24,   363.36,     0.12, 
mQ2_3,Instruction,    23,     35,   363.87,   363.96,     0.09, 
Q3_Enter,Instruction,    23,     35,   364.96,   364.96,     0.00, 
mQ2_4,Instruction,    24,     36,   365.24,   365.33,     0.09, 
mQ1_3,Transmission,    26,      0,   366.02,   366.14,     0.12, 
Q3_Enter,Instruction,    24,     36,   366.33,   366.33,     0.00, 
mQ2_6,Instruction,    25,     37,   367.11,   367.20,     0.09, 
Q3_Enter,Instruction,    25,     37,   368.20,   368.20,     0.00, 
mQ2_7,Instruction,    24,     38,   368.49,   368.58,     0.09, 
mQ1_2,Transmission,    27,      0,   369.08,   369.20,     0.12, 
Q3_Enter,Instruction,    24,     38,   369.58,   369.58,     0.00, 
mQ2_4,Instruction,    26,     39,   369.89,   369.98,     0.09, 
mQ2_4,Instruction,    25,     40,   370.36,   370.45,     0.09, 
Q3_Enter,Instruction,    26,     39,   370.98,   370.98,     0.00, 
Q3_Enter,Instruction,    25,     40,   371.45,   371.45,     0.00, 
mQ2_9,Instruction,    27,     41,   372.95,   373.04,     0.09, 
Q3_Enter,Instruction,    27,     41,   373.04,   373.04,     0.00, 
mQ2_4,Instruction,    26,     42,   373.14,   373.23,     0.09, 
Q7_Enter,Instruction,    27,     41,   373.14,   373.23,     0.09, 
mQ2_6,Instruction,    25,     43,   373.61,   373.70,     0.09, 
Q3_Enter,Instruction,    26,     42,   374.23,   374.23,     0.00, 
Q3_Enter,Instruction,    25,     43,   374.70,   374.70,     0.00, 
mQ2_6,Instruction,    27,     44,   376.20,   376.29,     0.09, 
mQ2_6,Instruction,    25,     45,   376.86,   376.95,     0.09, 
Q3_Enter,Instruction,    27,     44,   377.29,   377.29,     0.00, 
Q3_Enter,Instruction,    25,     45,   377.95,   377.95,     0.00, 
mQ1_3,Transmission,    28,      0,   379.97,   380.09,     0.12, 
Q5_Enter,Instruction,    25,     46,   380.11,   380.17,     0.06, 
mQ2_5,Instruction,    25,     46,   381.17,   381.26,     0.09, 
Q6_Enter,Instruction,    25,     46,   382.26,   382.35,     0.09, 
Q3_Enter,Instruction,    25,     46,   383.35,   383.35,     0.00, 
mQ2_3,Instruction,    25,     47,   383.36,   383.45,     0.09, 
mQ2_4,Instruction,    28,     48,   383.84,   383.93,     0.09, 
Q3_Enter,Instruction,    25,     47,   384.45,   384.45,     0.00, 
Q3_Enter,Instruction,    28,     48,   384.93,   384.93,     0.00, 
mQ2_8,Instruction,    25,     49,   386.61,   386.70,     0.09, 
Q3_Enter,Instruction,    25,     49,   387.70,   387.70,     0.00, 
Q7_Enter,Instruction,    25,     49,   387.80,   387.89,     0.09, 
mQ2_2,Instruction,    25,     50,   389.86,   389.95,     0.09, 
Q3_Enter,Instruction,    25,     50,   390.95,   390.95,     0.00, 
mQ2_2,Instruction,    25,     51,   393.11,   393.20,     0.09, 
Q3_Enter,Instruction,    25,     51,   394.20,   394.20,     0.00, 
mQ2_4,Instruction,    25,     52,   396.36,   396.45,     0.09, 
mQ1_4,Transmission,    29,      0,   396.59,   396.71,     0.12, 
Q3_Enter,Instruction,    25,     52,   397.45,   397.45,     0.00, 
mQ2_6,Instruction,    25,     53,   399.61,   399.70,     0.09, 
Q6_Enter,Instruction,    25,     53,   400.70,   400.79,     0.09, 
Q3_Enter,Instruction,    25,     53,   401.79,   401.79,     0.00, 
mQ2_6,Instruction,    25,     54,   402.86,   402.95,     0.09, 
mQ2_8,Instruction,    29,     55,   403.21,   403.30,     0.09, 
Q3_Enter,Instruction,    25,     54,   403.95,   403.95,     0.00, 
Q3_Enter,Instruction,    29,     55,   404.30,   404.30,     0.00, 
Q5_Enter,Instruction,    25,     56,   406.11,   406.17,     0.06, 
mQ2_7,Instruction,    29,     57,   406.21,   406.30,     0.09, 
mQ2_8,Instruction,    25,     56,   407.17,   407.26,     0.09, 
Q3_Enter,Instruction,    29,     57,   407.30,   407.30,     0.00, 
Q3_Enter,Instruction,    25,     56,   408.26,   408.26,     0.00, 

